base_function,two_slope_fill_in_epsilon,perturbation_epsilon,# breakpoints,# slopes,# vertices,# additive vertices,add_v/v ratio,delta pi min,is subadditive,.min(constant/BFS),.min(lp<=20/BFS),.min(lp<=50/BFS),.min(lp<=100/BFS),.min(lp<=500/BFS),.min(lp<=10000/BFS),.min(constant/DFS),.min(lp<=20/DFS),.min(lp<=50/DFS),.min(lp<=100/DFS),.min(lp<=500/DFS),.min(lp<=10000/DFS),naive subadditivity test (s)
<function gj_forward_3_slope at 0x1da19d320>,0,0,7,3,91,37,0.406593407,0,TRUE,"[0, 159, 0.013187100982666016, 1.7472527472527473]","[0, 99, 0.0607778076171875, 1.0879120879120878]","[0, 99, 0.06514838714599609, 1.0879120879120878]","[0, 99, 0.06555764923095703, 1.0879120879120878]","[0, 99, 0.0652073085784912, 1.0879120879120878]","[0, 99, 0.06738860626220704, 1.0879120879120878]","[0, 159, 0.013959550094604492, 1.7472527472527473]","[0, 99, 0.06127041244506836, 1.0879120879120878]","[0, 99, 0.06704931907653809, 1.0879120879120878]","[0, 99, 0.06596867942810059, 1.0879120879120878]","[0, 99, 0.07541100730895996, 1.0879120879120878]","[0, 99, 0.0648715461730957, 1.0879120879120878]",0.001111031
<function gj_forward_3_slope at 0x1da19d320>,0,1/1000,7,3,91,37,0.406593407,0,TRUE,"[0, 159, 0.013605941772460937, 1.7472527472527473]","[0, 99, 0.06236264343261719, 1.0879120879120878]","[0, 99, 0.06511328201293945, 1.0879120879120878]","[0, 99, 0.06536144676208495, 1.0879120879120878]","[0, 99, 0.06631082000732422, 1.0879120879120878]","[0, 99, 0.07043288040161133, 1.0879120879120878]","[0, 159, 0.013311508941650391, 1.7472527472527473]","[0, 99, 0.06284531784057618, 1.0879120879120878]","[0, 99, 0.06594326782226563, 1.0879120879120878]","[0, 99, 0.06558045234680175, 1.0879120879120878]","[0, 99, 0.06693283615112304, 1.0879120879120878]","[0, 99, 0.0654472499847412, 1.0879120879120878]",0.001187086
<function gj_forward_3_slope at 0x1da19d320>,0,1/500,7,3,91,37,0.406593407,0,TRUE,"[0, 159, 0.015180808639526366, 1.7472527472527473]","[0, 99, 0.06483383750915528, 1.0879120879120878]","[0, 99, 0.07062309684753418, 1.0879120879120878]","[0, 99, 0.06600802688598632, 1.0879120879120878]","[0, 99, 0.06588624267578125, 1.0879120879120878]","[0, 99, 0.06515934448242187, 1.0879120879120878]","[0, 159, 0.01535485725402832, 1.7472527472527473]","[0, 99, 0.06209072456359863, 1.0879120879120878]","[0, 99, 0.06421422424316406, 1.0879120879120878]","[0, 99, 0.06626750755310058, 1.0879120879120878]","[0, 99, 0.06468315238952636, 1.0879120879120878]","[0, 99, 0.06857013359069825, 1.0879120879120878]",0.001245022
<function gj_forward_3_slope at 0x1da19d320>,0,1/100,7,3,91,37,0.406593407,0,TRUE,"[0, 159, 0.013592204666137695, 1.7472527472527473]","[0, 99, 0.06136531753540039, 1.0879120879120878]","[0, 99, 0.06605535202026368, 1.0879120879120878]","[0, 99, 0.06450184059143066, 1.0879120879120878]","[0, 99, 0.06468125915527344, 1.0879120879120878]","[0, 99, 0.06485512886047363, 1.0879120879120878]","[0, 159, 0.013719594955444336, 1.7472527472527473]","[0, 99, 0.06070844879150391, 1.0879120879120878]","[0, 99, 0.06501944885253906, 1.0879120879120878]","[0, 99, 0.06657761993408202, 1.0879120879120878]","[0, 99, 0.0662380973815918, 1.0879120879120878]","[0, 99, 0.06480426063537598, 1.0879120879120878]",0.001080036
<function gj_forward_3_slope at 0x1da19d320>,0,1/50,7,3,91,37,0.406593407,0,TRUE,"[0, 159, 0.013355211639404297, 1.7472527472527473]","[0, 99, 0.0612968147277832, 1.0879120879120878]","[0, 99, 0.06482465744018555, 1.0879120879120878]","[0, 99, 0.06443310737609863, 1.0879120879120878]","[0, 99, 0.06470045280456543, 1.0879120879120878]","[0, 99, 0.06433522567749024, 1.0879120879120878]","[0, 159, 0.013614302062988281, 1.7472527472527473]","[0, 99, 0.06142056999206543, 1.0879120879120878]","[0, 99, 0.0643363956451416, 1.0879120879120878]","[0, 99, 0.06639822158813477, 1.0879120879120878]","[0, 99, 0.07415355567932129, 1.0879120879120878]","[0, 99, 0.06540271568298339, 1.0879120879120878]",0.001076221
<function gj_forward_3_slope at 0x1da19d320>,10-Jan,0,85,2,19491,1076,0.055204966,0,TRUE,"[0, 8841, 1.0232331382751465, 0.45359396644605204]","[0, 4869, 3.159421762084961, 0.249807603509312]","[0, 4083, 3.201650337600708, 0.20948129906110513]","[0, 4081, 3.8975501903533933, 0.20937868759940487]","[0, 4081, 3.7210709327697753, 0.20937868759940487]","[0, 4081, 3.506690982055664, 0.20937868759940487]","[0, 8841, 0.8127415336608886, 0.45359396644605204]","[0, 4869, 3.6075507759094236, 0.249807603509312]","[0, 4083, 3.590426558303833, 0.20948129906110513]","[0, 4081, 3.9287997177124026, 0.20937868759940487]","[0, 4081, 3.7336939823150637, 0.20937868759940487]","[0, 4081, 3.799981715774536, 0.20937868759940487]",0.512434959
<function gj_forward_3_slope at 0x1da19d320>,10-Jan,1/1000,85,7,19491,918,0.047098661,-0.002,FALSE,"[-1/500, 8841, 0.8825756141662597, 0.45359396644605204]","[-1/500, 2933, 1.9978638107299804, 0.15047970858344878]","[-1/500, 2679, 2.3151754932403565, 0.13744805294751425]","[-1/500, 2673, 2.5846341407775877, 0.13714021856241343]","[-1/500, 2673, 2.719707020187378, 0.13714021856241343]","[-1/500, 2673, 2.7510459579467774, 0.13714021856241343]","[-1/500, 8841, 0.9313077682495117, 0.45359396644605204]","[-1/500, 3015, 2.2309306335449217, 0.15468677851315993]","[-1/500, 2765, 2.466973482131958, 0.14186034580062593]","[-1/500, 2759, 4.120214191436768, 0.1415525114155251]","[-1/500, 2759, 3.1143899250030516, 0.1415525114155251]","[-1/500, 2759, 2.7449076126098633, 0.1415525114155251]",0.525105
<function gj_forward_3_slope at 0x1da19d320>,10-Jan,1/500,85,12,19491,655,0.033605254,-0.004,FALSE,"[-1/250, 8841, 0.8605661582946778, 0.45359396644605204]","[-1/250, 2895, 2.285362364959717, 0.1485300908111436]","[-1/250, 2641, 2.442979532241821, 0.13549843517520907]","[-1/250, 2633, 2.859684971237183, 0.135087989328408]","[-1/250, 2633, 3.1111347911834715, 0.135087989328408]","[-1/250, 2633, 2.9121734855651855, 0.135087989328408]","[-1/250, 8841, 0.8925692600250245, 0.45359396644605204]","[-1/250, 2977, 2.2600680694580078, 0.15273716074085475]","[-1/250, 2729, 2.357812343978882, 0.14001333949002104]","[-1/250, 2721, 2.52666236038208, 0.13960289364321996]","[-1/250, 2721, 2.7098052642822266, 0.13960289364321996]","[-1/250, 2721, 2.745753475189209, 0.13960289364321996]",0.483782053
<function gj_forward_3_slope at 0x1da19d320>,10-Jan,1/100,85,19,19491,545,0.027961623,-0.02,FALSE,"[-1/50, 6211, 0.7014563018798828, 0.3186598943101944]","[-1/50, 2761, 2.0000568378448484, 0.1416551228772254]","[-1/50, 2519, 2.226385190200806, 0.12923913601149248]","[-1/50, 2513, 2.3511361465454104, 0.12893130162639166]","[-1/50, 2513, 2.611959487533569, 0.12893130162639166]","[-1/50, 2513, 2.543631394958496, 0.12893130162639166]","[-1/50, 6723, 0.657405054473877, 0.34492842850546407]","[-1/50, 3015, 2.256549284362793, 0.15468677851315993]","[-1/50, 2771, 2.8843136695861817, 0.14216818018572674]","[-1/50, 2763, 2.688715715408325, 0.14175773433892566]","[-1/50, 2763, 2.953793251800537, 0.14175773433892566]","[-1/50, 2763, 2.8231553550720214, 0.14175773433892566]",0.482833862
<function gj_forward_3_slope at 0x1da19d320>,10-Jan,1/50,85,31,19491,494,0.025345031,-0.044,FALSE,"[-11/250, 2835, 0.3036436008453369, 0.14545174696013544]","[-11/250, 1147, 0.7917963542938232, 0.05884767328510595]","[-11/250, 761, 0.949124988937378, 0.039043661176953466]","[-11/250, 701, 0.9292002696990966, 0.03596531732594531]","[-11/250, 701, 1.0897995113372803, 0.03596531732594531]","[-11/250, 701, 1.073553528213501, 0.03596531732594531]","[-11/250, 3721, 0.35803624420166014, 0.1909086244933559]","[-11/250, 1735, 1.1822892063140868, 0.08901544302498589]","[-11/250, 1367, 1.2854465126037597, 0.07013493407213586]","[-11/250, 1315, 1.3515045928955078, 0.06746703606792878]","[-11/250, 1309, 1.5092629055023192, 0.06715920168282798]","[-11/250, 1309, 1.6568909088134767, 0.06715920168282798]",0.479315996
